gdetail_no,grade_no,gdetail_name,sort_no
100009288,10005159,"프레스티지",0
100010518,10005159,"60주년 에디션",0
100010659,10008586,997,0
100012088,10009559,"스타일",0
100013792,10014007,"더 센",0
100009876,10005163,"4WD 최고급형",0
100008560,10005163,"최고급형",0
100006892,10005164,2WD,0
100008561,10005166,"최고급형",0
100009360,10005166,"EZ SPECIAL",0
100012258,10012368,"프레스티지",0
100010588,10008563,996,0
100010615,10008573,991,0
100010653,10008584,993,0
100012919,10008810,"기본형",0
100013531,10009508,"프리미에르",0
100012165,10011549,"고급형",0
100012026,10011573,"고급형",0
100012236,10011661,"어드밴스드",0
100011319,10011688,"디럭스",0
100013845,10013458,"기본형",0
100009045,10005169,"4WD 고급형",0
100007525,10005174,"최고급형",0
100009047,10005174,"4WD 최고급형",0
100009577,10005177,"4WD 최고급형",0
100008728,10003538,"FIRST CLASS",0
100011102,10005312,"중축",0
100006963,10003549,"고급형",0
100007896,10005458,"LS형",0
100009855,10003560,"VVIP PACK",0
100007650,10006594,"해치백",0
100006902,10006681,2WD,0
100010658,10008586,991,0
100011416,10011427,"드림에디션",0
100011189,10011519,"최고급형",0
100012024,10011572,"고급형",0
100007101,10003541,"기본형",0
100007429,10003975,"웨곤 고급형",0
100009762,10003985,"GX 점보 터보인터쿨러 ",0
100008772,10003986,"GRX 점보",0
100009792,10004346,"LX 최고급형",0
100007929,10004347,"LX 고급형",0
100011667,10004454,"최고급형 패밀리",0
100010719,10009522,"프라다 다이나믹",0
100011188,10011519,"기본형",0
100011205,10011526,"최고급형",0
100011233,10011567,COMFORT,0
100012037,10011597,"기본형",0
100011279,10011614,"11인승",0
100011268,10011615,"9인승",0
100012235,10011659,"엘리트",0
100012326,10011660,"슈프림",0
100009924,10004473,"코치 EST",0
100007500,10004480,"장축",0
100007501,10004481,"장축",0
100008816,10004482,"J2 ",0
100007653,10004483,"AM705 미니버스",0
100007204,10004787,"기본형",0
100013505,10012896,"트렌디",0
100008694,10004814,"DK 고급형",0
100008244,10004829,"고급형",0
100008014,10004950,SPECIALE,0
100013612,10012895,"시그니처",0
100010948,10011063,"럭셔리",0
100012341,10011214,"슈퍼캡",0
100011415,10011424,"드림에디션",0
100011984,10011513,"4WD SL 최고급형",0
100009192,10004957,"장애우용",0
100008724,10004961,EXCLUSIVE,0
100007297,10005045,"레버런스",0
100008371,10005067,"보우에디션",0
100007068,10005163,"고급형",0
100007072,10005177,"고급형",0
100007317,10005184,"멀티엘리트",0
100009148,10005184,"슈퍼프라임",0
100012256,10012368,"럭셔리",0
100008939,10004822,SOHC,0
100013302,10005002,"썸머 스페셜 컬렉션",0
100007907,10005058,LUXURY,0
100009005,10005121,YOUTH,0
100006894,10005175,2WD,0
100012189,10005461,"일반형",0
100010307,10007100,"쿠페",0
100010368,10007195,"다이나믹",0
100011177,10007674,"스마트",0
100009806,10005121,PASSION,0
100007470,10005138,"일반형",0
100007523,10005149,"최고급형",0
100010895,10010319,"럭셔리",0
100010896,10010319,"프레스티지",0
100010897,10010319,"노블레스",0
100013693,10010341,4.0,0
100013694,10010341,6.0,0
100013695,10010342,4.0,0
100013696,10010342,6.0,0
100011058,10010443,"e-HDi 에코",0
100011059,10010443,"e-HDi 알뤼르",0
100011060,10010444,"e-HDi 알뤼르",0
100011061,10010445,"BlueHDi 알뤼르",0
100011062,10010445,"BlueHDi GT Line",0
100011063,10010445,"e-HDi 에코",0
100011064,10010445,"e-HDi 펠린",0
100010900,10010545,"플러스 패키지",0
100010902,10010546,"플러스 패키지",0
100010903,10010548,"플러스 패키지",0
100010904,10010549,"플러스 패키지",0
100011324,10010698,"프리미엄",0
100011098,10005311,"중축",0
100011289,10010952,"기본형",0
100011128,10010952,"스페셜",0
100011565,10003944,"모던",0
100007798,10003958,"GLS 기본형",0
100009241,10004272,"최고급형",0
100010088,10003985,"GRX MULTI 점보 터보인터쿨러 ",0
100009040,10004468,4WD,0
100012124,10004709,"고급형",0
100011601,10004878,"슈퍼",0
100007942,10004927,PLUS,0
100013290,10004937,"리미티드 에디션",0
100011357,10011057,"프레스티지",0
100010934,10011057,"럭셔리",0
100010935,10011057,"프리미엄 럭셔리",0
100013530,10011057,"럭셔리 스페셜",0
100013529,10011058,"럭셔리 스페셜",0
100011358,10011058,"프레스티지",0
100010938,10011059,"프레스티지",0
100010939,10011059,"파이니스트",0
